Date,Open,High,Low,Close,Adj Close,Volume,Class
2/8/2020,,,,,,,Test
2/9/2020,,,,,,,Test
2/10/2020,,,,,,,Test
2/11/2020,,,,,,,Test
2/12/2020,,,,,,,Test
2/13/2020,,,,,,,Test
2/14/2020,,,,,,,Test
2/15/2020,,,,,,,Test
2/16/2020,,,,,,,Test
2/17/2020,,,,,,,Test
2/18/2020,,,,,,,Test
2/19/2020,,,,,,,Test
2/20/2020,,,,,,,Test
2/21/2020,,,,,,,Test
2/22/2020,,,,,,,Test
2/23/2020,,,,,,,Test
2/24/2020,,,,,,,Test
2/25/2020,,,,,,,Test
2/26/2020,,,,,,,Test
2/27/2020,,,,,,,Test
2/28/2020,,,,,,,Test
2/29/2020,,,,,,,Test
3/1/2020,,,,,,,Test
3/2/2020,,,,,,,Test
3/3/2020,,,,,,,Test
3/4/2020,,,,,,,Test
3/5/2020,,,,,,,Test
3/6/2020,,,,,,,Test
3/7/2020,,,,,,,Test
3/8/2020,,,,,,,Test
3/9/2020,,,,,,,Test
3/10/2020,,,,,,,Test
3/11/2020,,,,,,,Test
3/12/2020,,,,,,,Test
3/13/2020,,,,,,,Test
3/14/2020,,,,,,,Test
3/15/2020,,,,,,,Test
3/16/2020,,,,,,,Test
3/17/2020,,,,,,,Test
3/18/2020,,,,,,,Test
3/19/2020,,,,,,,Test
3/20/2020,,,,,,,Test
3/21/2020,,,,,,,Test
3/22/2020,,,,,,,Test
3/23/2020,,,,,,,Test
3/24/2020,,,,,,,Test
3/25/2020,,,,,,,Test
3/26/2020,,,,,,,Test
3/27/2020,,,,,,,Test
3/28/2020,,,,,,,Test
3/29/2020,,,,,,,Test
3/30/2020,,,,,,,Test
3/31/2020,,,,,,,Test
4/1/2020,,,,,,,Test
4/2/2020,,,,,,,Test
4/3/2020,,,,,,,Test
4/4/2020,,,,,,,Test
4/5/2020,,,,,,,Test
4/6/2020,,,,,,,Test
4/7/2020,,,,,,,Test
4/8/2020,,,,,,,Test
4/9/2020,,,,,,,Test
4/10/2020,,,,,,,Test
4/11/2020,,,,,,,Test
4/12/2020,,,,,,,Test
4/13/2020,,,,,,,Test
4/14/2020,,,,,,,Test
4/15/2020,,,,,,,Test
4/16/2020,,,,,,,Test
